Dealer,Address 1,Address 2,Contact Number,Region
0800 Best Deal Cars Limited,232 Neilson Street,"Onehunga, Auckland",96345755,Auckland
A R Motors,105 May Road,"Mt Roskill, Auckland",92142252,Auckland
A2Z Cars,33 Neilson Street,"Onehunga, Auckland",21671467,Auckland
ACU Mangere,Shop 9/ 93 Bader Drive,"Mangere Town Centre, Auckland",92771384,Auckland
ACU Papatoetoe,18 St George Street,"Papatoetoe, Auckland",92771383,Auckland
Advantage Cars Ltd,11 Reg Savory Place,"East Tamaki, Auckland",92743151,Auckland
Albany Motors,232 Albany highway,"Albany, Auckland",21905024,Auckland
AMA WEST CARS,32 Altham Avenue,"Mt Eden, Auckland",98455000,Auckland
Apex Motors,16 Holloway Place,"Penrose, Auckland",21934588,Auckland
Archibald & Shorter North Shore,20 Wairau Road,"Glenfield, Auckland",94419811,Auckland
Archibald & Shorter Roverland,550 Great South Road,"Greenlane, Auckland",99179417,Auckland
Armstrong East Auckland Nissan,277 Ti Rakau Drive,"Botany, Auckland",92728000,Auckland
Armstrong Motor Group Greenlane,222-229 Great South Road,"Greenlane, Auckland",96019706,Auckland
Arrow Toys,2 Sawmill Road,"Riverhead, Riverhead",211666024,Auckland
Ateco Group NZ,40 Paisley Place,"Mt Wellington, Auckland",95737788,Auckland
Auckland Central SsangYong LDV,438 Great South Rd,"Greenlane, Auckland",95808800,Auckland
Auckland City BMW,7 Great South Road,"Epsom, Auckland",95243300,Auckland
Auckland City Electric Vehicles,83 Barrys Point Road,"Takapuna, Auckland",8002489387,Auckland
Auckland City Toyota,101 Great North Rd,"Grey Lynn, Auckland",93789909,Auckland
Auckland Motors Mitsubishi,686 Great South Road,"Manukau, Auckland",92629020,Auckland
Auckland Vehicles Limited,438 Great South Road,"Greenlane, Auckland",95808803,Auckland
Auto Empire,12 Stephanie close,"Glenfield, Auckland",210599993,Auckland
BMW Financial Services,7 Pacific Rise,"Mount Wellington, Auckland",95732533,Auckland
Budget Car Sales,676 Great South Raod,"Manukau, Auckland",92631001,Auckland
Car and Personal Loans,33 St Lukes Road,"Mt Albert, Auckland",800100422,Auckland
Car Giant,1117 Great North Road,"Point Chevalier, Auckland",21811911,Auckland
CFS Finance,2-4 Sultan Street,"Ellerslie, Auckland",95803033,Auckland
City Cars,132 Lincoln Road,"Henderson, Auckland",92158927,Auckland
Continental Cars Audi - F&I,42 Great South road,"Newmarket, Auckland",95266940,Auckland
Continental Cars Porsche & Ferrari,40 Great South Road,"Newmarket, Auckland",95268991,Auckland
Continental Cars VW - F&I,38 Great South Road,"Newmarket, Auckland",95266968,Auckland
Devonport Car Company RMVT,154 Lake Road,"Belmont, Auckland",94456236,Auckland
Double Ten Ltd,5 Hauiti Road,"Otahuhu, Auckland",92700545,Auckland
Driveline Fleet Limited,222 Bush road,"Albany, Auckland",99205565,Auckland
DTR Motors,29 Portage Road,"New Lynn, Auckland",92818717,Auckland
Eagers Automotive CRO Team,13 Freight Place,"Mangere,, Auckland",800777889,Auckland
East Auckland BMW,8 Beale Place,"East Tamaki, Auckland",98844811,Auckland
East Auckland Hyundai,279B Ti Rakau Drive,"Botany, Auckland",92722010,Auckland
Easyauto123 - Manukau,9 Cavendish drive,"Manukau, Auckland",92612000,Auckland
Edge European,69 Church Street,"Onehunga, Auckland",275132464,Auckland
Electric Loans,"Level 17 Spaces,  11-19 Customs Street West","Auckland CBD, Auckland",800224007,Auckland
Enterprise Motor Group Ltd - New Lynn,2 Portage Road,"New Lynn, Auckland",800080130,Auckland
Enterprise Motor Group Manukau,573 Great South Road,"Manukau, Auckland",0800 502 234,Auckland
Esteem Car Traders Ltd,42 Rosebank Road,"Avondale, Auckland",2108011636,Auckland
European Distributors Limited t/a SKODA New Zealand,1 Nixon Street,"Grey Lynn, Auckland",09 3602911,Auckland
European Distributors Limited T/A Volkswagen New Zealand,1 Nixon Street,"Grey Lynn, Auckland",93602911,Auckland
Exceed Finance Ltd,59 Angelo Ave,"Howick, Auckland",212956255,Auckland
EZ Motors,3015 Great North road,"New Lynn, Auckland",21998937,Auckland
Fasst Ltd,4-6 Mountwell Cresent,"Mount Wellington, Auckland",98844826,Auckland
Fenda,P.O. Box 204365,"Highbrook, Auckland",21719676,Auckland
Finance Bloom,377 New North Road,"Kingsland, Auckland",225060010,Auckland
Finance Today,1/84 Alfriston Road,"Manurewa, AUCKLAND",212075527,Auckland
Financial Holdings Ltd,17 Kalmia Street,"Ellerslie, Auckland",09 579 8374,Auckland
Fisher & Paykel Credit Union,78 Springs Road,"East Tamaki, Auckland",92730660,Auckland
Garage 22,7/122 Railside Ave,"Henderson, Auckland",21911693,Auckland
Giltrap Audi,150 Great North Road,"Grey Lynn, Auckland",93365250,Auckland
Giltrap Motors Ltd - Giltrap Kia,Cnr Wairau & Diana Drive,"Glenfield, Auckland",94448114,Auckland
Giltrap Nissan,48-58 Great South Road,"Newmarket, Auckland",99751953,Auckland
Giltrap Prestige,100 Great North Road,"Grey Lynn, Auckland",93603200,Auckland
Giltrap Skoda,58 Great South Road,"Newmarket, Auckland",95229922,Auckland
GM Cars LTD,514 -520 Great South Road,"Otahuhu, Auckland",92762222,Auckland
Go Car Finance,"Level 2, 135 Boadway","Newmarket, Auckland",96334010,Auckland
Good Finance,5/53 Cavendish drive,"Manukau, Auckland",09 263 6955,Auckland
Hyundai Motors New Zealand Ltd,7 Clemow Drive,"Mt Wellington, Auckland",95732050,Auckland
I Sell Cars Ltd,"106 Princes Street, Onehunga","Onehunga, Auckland",80019920808,Auckland
Ideal Motors,2169 Great North Road,"Avondale, Auckland",212733699,Auckland
Ingham Nissan,159 Wairau Road Glenfield Auckland,"Glenfield, Auckland",94446105,Auckland
Ingham North Harbour,175-187 Wairau Road,"Glenfield, Auckland",94447777,Auckland
Isuzu Utes NZ,11 Clemow Drive,"Mt Wellington, Auckland",09 574 2744,Auckland
John Andrew Mazda -Easyauto123,38 Great North Road,"Grey Lynn, Auckland",93769829,Auckland
Just Prestige - Eden Terrace,123 New North Road,"Eden Terrace, Auckland",93661688,Auckland
Langdon Finance Ltd,71 Donald Street,"Stanmore Bay, Auckland",210469382,Auckland
Loansmart,"Level 4, 238 Broadway","Newmarket, Auckland",95294566,Auckland
Luxxio Vehicles,196 Wairau Road,"North Shore, Auckland",800589227,Auckland
Manikaran Autos,505 Great South RoadPenroseAuckland1061,"Penrose, Auckland",224078768,Auckland
Manukau Hyundai,686 Great South Road,"Manukau, Auckland",92622700,Auckland
Manukau Nissan,"17 Cavendish Drive,","Manukau,, Auckland",92614000,Auckland
Manz Motors,69 Kerwyn Ave,"East Tamaki, Auckland",2102597154,Auckland
Mercedes Benz Auckland,2 Great South Road,"Newmarket, Auckland",95293888,Auckland
Mercedes Benz Botany,279 Ti Rakau Drive,"Burswood, Auckland",95358889,Auckland
Merlion Motor Group,1/86 Elizabeth Know Place,"Saint Johns, Auckland",2102758141,Auckland
Metro Automotive,2169 Great North Road,"Avondale, Auckland",95790786,Auckland
Ming Motors,118A Hobsonville Road,"Hobsonville, Auckland",93777770,Auckland
Mini Garage Auckland,381-383 Broadway,"Newmarket, Auckland",95243300,Auckland
Montay Trading Ltd,13 Fong Road,"Flat Bush, Auckland",223170997,Auckland
Moses Machines Ltd,19 Virginia ave East,"Eden Terrace, Auckland",21834552,Auckland
