"Date","Total Sales","Total Commission","New Sales","Renewals","Refunds",
"Jan 1, 2022","$365.09","$220.46","$316.09","$49.00","",
"Jan 2, 2022","$333.09","$206.52","$200.68","$132.41","",
"Jan 3, 2022","$276.80","$66.80","$158.00","$118.80","-$168.27",
"Jan 4, 2022","$788.19","$422.20","$448.03","$340.16","-$58.80",
"Jan 5, 2022","$908.38","$542.12","$623.21","$285.17","-$58.31",
"Jan 6, 2022","$645.92","$393.33","$460.95","$184.97","",
"Jan 7, 2022","$1,301.15","$835.14","$351.13","$950.02","",
"Jan 8, 2022","$818.98","$512.37","$178.00","$640.98","",
"Jan 9, 2022","$283.07","$140.28","$184.07","$99.00","-$52.94",
"Jan 10, 2022","$812.53","$292.14","$485.32","$327.21","-$307.00",
"Jan 11, 2022","$792.75","$338.55","$692.30","$100.45","-$254.58",
"Jan 12, 2022","$1,033.13","$484.49","$628.48","$404.65","-$219.45",
"Jan 13, 2022","$1,254.05","$699.12","$504.50","$749.55","-$94.80",
"Jan 14, 2022","$1,257.87","$633.32","$626.77","$631.10","-$305.84",
"Jan 15, 2022","$612.51","$172.68","$242.22","$370.29","-$293.67",
"Jan 16, 2022","$765.35","$433.89","$271.25","$494.10","-$94.01",
"Jan 17, 2022","$1,135.51","$580.62","$1,044.66","$90.85","-$172.62",
"Jan 18, 2022","$734.87","$401.92","$685.87","$49.00","-$134.37",
"Jan 19, 2022","$2,483.20","$1,401.11","$1,637.48","$845.72","-$228.00",
"Jan 20, 2022","$1,596.91","$809.48","$873.39","$723.52","-$329.89",
"Jan 21, 2022","$1,313.37","$813.84","$618.52","$694.85","",
"Jan 22, 2022","$830.53","$511.71","$320.35","$510.18","",
"Jan 23, 2022","$1,146.36","$506.80","$793.77","$352.59","-$292.54",
"Jan 24, 2022","$676.24","$252.93","$506.39","$169.85","-$260.95",
"Jan 25, 2022","$1,085.33","$366.38","$441.12","$644.21","-$461.58",
"Jan 26, 2022","$1,268.88","$781.98","$670.93","$597.95","",
"Jan 27, 2022","$1,085.65","$581.27","$729.70","$355.95","-$158.00",
"Jan 28, 2022","$1,458.40","$850.91","$1,153.64","$304.76","-$105.93",
"Jan 29, 2022","$862.16","$518.67","$314.96","$547.20","",
"Jan 30, 2022","$367.47","$187.43","$203.94","$163.53","-$87.10",
"Jan 31, 2022","$1,090.59","$684.75","$871.80","$218.79","",
"Feb 1, 2022","$658.28","$232.29","$383.67","$274.61","-$288.64",
"Feb 2, 2022","$1,809.14","$983.23","$931.62","$877.52","-$238.27",
"Feb 3, 2022","$1,689.94","$1,036.45","$754.42","$935.52","",
"Feb 4, 2022","$1,992.46","$1,039.17","$1,141.06","$851.40","-$298.85",
"Feb 5, 2022","$1,005.62","$567.03","$99.00","$906.62","-$97.96",
"Feb 6, 2022","$365.12","$125.91","$94.01","$271.11","-$149.00",
"Feb 7, 2022","$1,328.87","$784.16","$1,045.22","$283.65","-$86.90",
"Feb 8, 2022","$1,119.15","$500.61","$384.57","$734.58","-$335.87",
"Feb 9, 2022","$1,818.62","$994.07","$1,117.71","$700.91","-$149.00",
