"Date","Total Sales","Total Commission","New Sales","Renewals","Refunds",
"Jan 1, 2022","$161.29","$100.57","$161.29","","",
"Jan 4, 2022","$168.37","$100.41","$168.37","","",
"Jan 5, 2022","$335.25","$200.86","$335.25","","",
"Jan 6, 2022","$149.00","$80.00","$149.00","","",
"Jan 13, 2022","$149.00","$100.86","$149.00","","",
"Jan 14, 2022","$149.00","$100.86","$149.00","","",
"Jan 15, 2022","$149.00","-$20.86","$149.00","","-$149.00",
"Jan 17, 2022","$149.00","$80.00","$149.00","","",
"Jan 19, 2022","$149.00","$0.00","$149.00","","-$149.00",
"Jan 23, 2022","","-$100.86","","","-$149.00",
"Jan 25, 2022","$171.35","-$0.52","$171.35","","-$149.00",
"Jan 26, 2022","$488.72","$301.61","$309.92","$178.80","",
"Jan 27, 2022","$149.00","$100.86","$149.00","","",
"Jan 28, 2022","$308.43","$201.48","$308.43","","",
"Jan 31, 2022","$298.00","$201.72","$298.00","","",
"Feb 1, 2022","","-$100.86","","","-$149.00",
"Feb 2, 2022","$298.00","$100.86","$298.00","","-$149.00",
"Feb 3, 2022","$178.80","$100.17","$178.80","","",
"Feb 4, 2022","$149.00","$100.86","$149.00","","",
"Feb 6, 2022","","-$100.86","","","-$149.00",
"Feb 7, 2022","$149.00","$100.86","$149.00","","",
"Feb 8, 2022","","-$100.34","","","-$171.35",
"Feb 9, 2022","$171.35","-$0.52","$171.35","","-$149.00",
"Feb 11, 2022","$178.80","$100.17","$178.80","","",
"Feb 15, 2022","$149.00","$100.86","$149.00","","",
"Feb 16, 2022","$149.00","$100.86","$149.00","","",
"Feb 17, 2022","$298.00","$180.86","$298.00","","",
"Feb 18, 2022","$149.00","$100.86","$149.00","","",
"Feb 21, 2022","$298.00","$201.72","$298.00","","",
"Feb 22, 2022","$298.00","$100.86","$298.00","","-$149.00",
"Feb 25, 2022","$327.80","$201.03","$327.80","","",
"Mar 1, 2022","$298.00","$201.72","$149.00","$149.00","",
"Mar 2, 2022","$149.00","$80.00","$149.00","","",
"Mar 3, 2022","","-$100.17","","","-$178.80",
"Mar 5, 2022","$310.29","$100.57","$310.29","","-$149.00",
"Mar 7, 2022","$159.43","$100.62","$159.43","","",
"Mar 8, 2022","$476.80","$301.89","$476.80","","",
"Mar 9, 2022","$466.37","$201.48","$466.37","","-$157.94",
"Mar 10, 2022","$149.00","$0.24","$149.00","","-$159.43",
"Mar 11, 2022","","-$100.86","","","-$149.00",
"Mar 14, 2022","$149.00","$0.00","$149.00","","-$149.00",
"Mar 15, 2022","$171.35","-$0.52","$171.35","","-$149.00",
"Mar 17, 2022","","-$201.03","","","-$327.80",
"Mar 22, 2022","$476.80","$301.89","$476.80","","",
"Mar 23, 2022","$327.80","$201.03","$327.80","","",
"Mar 24, 2022","$149.00","$0.00","","$149.00","-$149.00",
"Mar 25, 2022","","-$100.86","","","-$149.00",
"Mar 29, 2022","$341.81","$200.70","$341.81","","",
"Mar 30, 2022","","-$100.86","","","-$149.00",
"Apr 5, 2022","$469.35","$302.06","$469.35","","",
"Apr 6, 2022","","-$201.72","","","-$298.00",
"Apr 8, 2022","$149.00","$0.00","$149.00","","-$149.00",
"Apr 12, 2022","$298.00","$100.86","$298.00","","-$149.00",
"Apr 13, 2022","$149.00","$100.86","$149.00","","",
"Apr 14, 2022","$149.00","$100.86","$149.00","","",
"Apr 15, 2022","$149.00","$100.86","$149.00","","",
"Apr 17, 2022","$160.47","$100.59","$160.47","","",
"Apr 18, 2022","$149.00","$100.86","$149.00","","",
"Apr 19, 2022","$327.80","$100.44","$327.80","","-$160.47",
"Apr 21, 2022","$149.00","$100.86","$149.00","","",
"Apr 25, 2022","$354.58","$200.41","$354.58","","",
"Apr 26, 2022","","-$100.34","","","-$171.31",
"Apr 28, 2022","$163.90","$100.51","$163.90","","",
"May 4, 2022","","-$100.86","","","-$149.00",
"May 7, 2022","$171.31","$100.34","$171.31","","",
"May 9, 2022","$149.00","$100.86","$149.00","","",
"May 10, 2022","$298.00","$201.72","$298.00","","",
"May 12, 2022","$149.00","$100.86","","$149.00","",
"May 16, 2022","$149.00","$100.86","$149.00","","",
"May 19, 2022","$495.72","$301.45","$316.92","$178.80","",
"May 20, 2022","$160.47","$100.59","$160.47","","",
"May 23, 2022","$162.22","$100.55","$162.22","","",
"May 25, 2022","$160.47","$100.59","$160.47","","",
"May 31, 2022","","-$100.86","","","-$149.00",
"Jun 2, 2022","$308.43","$201.48","$308.43","","",
"Jun 6, 2022","$149.00","$100.86","$149.00","","",
"Jun 7, 2022","$149.00","$100.86","$149.00","","",
"Jun 9, 2022","","-$100.59","","","-$160.47",
"Jun 11, 2022","$149.00","$100.86","$149.00","","",
"Jun 12, 2022","$149.00","$100.86","","$149.00","",
"Jun 15, 2022","$298.00","$201.72","$298.00","","",
"Jun 20, 2022","","-$100.86","","","-$149.00",
"Jun 22, 2022","$461.90","$273.02","$283.10","$178.80","",
"Jun 28, 2022","","-$100.59","","","-$160.47",
"Jun 29, 2022","","-$90.77","","","-$134.10",
"Jun 30, 2022","$268.20","$181.54","$268.20","","",
"Jul 1, 2022","$149.00","$100.86","$149.00","","",
"Jul 3, 2022","$149.00","$100.86","$149.00","","",
"Jul 9, 2022","$149.00","$100.86","$149.00","","",
"Jul 12, 2022","$149.00","$0.24","$149.00","","-$159.43",
"Jul 14, 2022","$149.00","$0.00","$149.00","","-$149.00",
"Jul 15, 2022","","-$100.86","","","-$149.00",
"Jul 19, 2022","$149.00","$100.86","$149.00","","",
"Jul 20, 2022","$149.00","$100.86","$149.00","","",
"Jul 21, 2022","$149.00","$0.00","$149.00","","-$149.00",
"Jul 22, 2022","$178.80","$100.17","$178.80","","",
"Jul 25, 2022","$309.47","$201.45","$309.47","","",
"Jul 26, 2022","$160.92","$100.58","$160.92","","",
"Jul 27, 2022","$310.29","$100.86","$310.29","","-$160.92",
"Jul 29, 2022","$178.80","$100.17","$178.80","","",
"Aug 1, 2022","$298.00","$180.86","$298.00","","",
"Aug 2, 2022","$149.00","$100.86","$149.00","","",
"Aug 7, 2022","$149.00","$100.86","$149.00","","",
"Aug 8, 2022","$317.37","$201.27","$317.37","","",
"Aug 9, 2022","$348.66","$199.51","$348.66","","",
"Aug 11, 2022","","-$100.21","","","-$177.31",
"Aug 14, 2022","$308.43","$201.48","$308.43","","",
"Aug 16, 2022","$160.47","$100.59","$160.47","","",
"Aug 17, 2022","$149.00","$100.86","$149.00","","",
"Aug 19, 2022","$312.68","$201.38","$312.68","","",
"Aug 20, 2022","$149.00","$100.86","$149.00","","",
"Aug 22, 2022","$178.80","$100.17","$178.80","","",
"Aug 23, 2022","$149.00","$0.00","$149.00","","-$149.00",
"Aug 24, 2022","","-$100.41","","","-$168.37",
"Aug 25, 2022","$149.00","$0.00","$149.00","","-$149.00",
"Aug 30, 2022","$149.00","$100.86","$149.00","","",
"Aug 31, 2022","$149.00","$100.86","$149.00","","",
"Sep 1, 2022","$329.29","$100.14","$329.29","","-$149.00",
"Sep 5, 2022","$327.80","$201.03","$327.80","","",
"Sep 6, 2022","","-$100.86","","","-$149.00",
"Sep 7, 2022","$308.06","$100.63","$308.06","","-$149.00",
"Sep 8, 2022","$479.00","$200.97","$315.88","$163.12","-$149.00",
"Sep 9, 2022","$149.00","$100.86","$149.00","","",
"Sep 13, 2022","$149.00","$100.86","$149.00","","",
"Sep 14, 2022","$178.80","-$0.27","$178.80","","-$166.88",
"Sep 16, 2022","","-$100.86","","","-$149.00",
"Sep 19, 2022","$149.00","$100.86","$149.00","","",
"Sep 21, 2022","$149.00","$100.86","$149.00","","",
"Sep 22, 2022","","-$100.86","","","-$149.00",
"Sep 26, 2022","$149.00","$100.86","$149.00","","",
"Sep 27, 2022","$149.00","-$100.55","$149.00","","-$311.22",
"Sep 30, 2022","$180.29","$100.86","$180.29","","-$31.29",
"Oct 3, 2022","$248.09","$161.15","$248.09","","",
"Oct 4, 2022","$105.49","$47.63","$105.49","","",
"Oct 5, 2022","$89.40","$60.52","$89.40","","",
"Oct 6, 2022","$238.40","$100.86","$89.40","$149.00","-$89.40",
"Oct 7, 2022","$89.40","$60.52","$89.40","","",
"Oct 10, 2022","","-$60.52","","","-$89.40",
"Oct 11, 2022","$520.76","$300.87","$359.09","$161.67","",
